fecha,producto,precio_farmacity,lista_farmacity,precio_farmaplus,lista_farmaplus
2026-03-07,Nivea Sun Tono Medio,NA,NA,$ 15.906,$ 26.510
2026-03-07,Vichy Capital Soleil,NA,NA,$ 43.922,$ 79.859
2026-03-07,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510
2026-03-07,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859
2026-03-08,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510
2026-03-08,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859
2026-03-09,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510
2026-03-09,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859
2026-03-10,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510
2026-03-10,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859
